일시,FL1
2025-01-01 00:00:00,866151.0
2025-01-01 00:30:00,873363.0
2025-01-01 01:00:00,873920.0
2025-01-01 01:30:00,879240.0
2025-01-01 02:00:00,877259.0
2025-01-01 02:30:00,875302.0
2025-01-01 03:00:00,882567.0
2025-01-01 03:30:00,885235.0
2025-01-01 04:00:00,885127.0
2025-01-01 04:30:00,881218.0
2025-01-01 05:00:00,881407.0
2025-01-01 05:30:00,887126.0
2025-01-01 06:00:00,891766.0
2025-01-01 06:30:00,890940.0
2025-01-01 07:00:00,888013.0
2025-01-01 07:30:00,879017.0
2025-01-01 08:00:00,883866.0
2025-01-01 08:30:00,883256.0
2025-01-01 09:00:00,879667.0
2025-01-01 09:30:00,845039.0
2025-01-01 10:00:00,645932.0
2025-01-01 10:30:00,642467.0
2025-01-01 11:00:00,629261.0
2025-01-01 11:30:00,627210.0
2025-01-01 12:00:00,617142.0
2025-01-01 12:30:00,603140.0
2025-01-01 13:00:00,682994.0
2025-01-01 13:30:00,832864.0
2025-01-01 14:00:00,865227.0
2025-01-01 14:30:00,858743.0
2025-01-01 15:00:00,860536.0
2025-01-01 15:30:00,880435.0
2025-01-01 16:00:00,866656.0
2025-01-01 16:30:00,864231.0
2025-01-01 17:00:00,863684.0
2025-01-01 17:30:00,849376.0
2025-01-01 18:00:00,850240.0
2025-01-01 18:30:00,857648.0
2025-01-01 19:00:00,858272.0
2025-01-01 19:30:00,859028.0
2025-01-01 20:00:00,871297.0
2025-01-01 20:30:00,869942.0
2025-01-01 21:00:00,873160.0
2025-01-01 21:30:00,876019.0
2025-01-01 22:00:00,878111.0
2025-01-01 22:30:00,883071.0
2025-01-01 23:00:00,890392.0
2025-01-01 23:30:00,889950.0
2025-01-02 00:00:00,884243.0
2025-01-02 00:30:00,876556.0
2025-01-02 01:00:00,867913.0
2025-01-02 01:30:00,875307.0
2025-01-02 02:00:00,875898.0
2025-01-02 02:30:00,877051.0
2025-01-02 03:00:00,873363.0
2025-01-02 03:30:00,870615.0
2025-01-02 04:00:00,869318.0
2025-01-02 04:30:00,864830.0
2025-01-02 05:00:00,866626.0
2025-01-02 05:30:00,873546.0
2025-01-02 06:00:00,870827.0
2025-01-02 06:30:00,865815.0
2025-01-02 07:00:00,883383.0
2025-01-02 07:30:00,874617.0
2025-01-02 08:00:00,876403.0
2025-01-02 08:30:00,865804.0
2025-01-02 09:00:00,865804.0
2025-01-02 09:30:00,865804.0
2025-01-02 10:00:00,865804.0
2025-01-02 10:30:00,865804.0
2025-01-02 11:00:00,865804.0
2025-01-02 11:30:00,865804.0
2025-01-02 12:00:00,865804.0
2025-01-02 12:30:00,865804.0
2025-01-02 13:00:00,865804.0
2025-01-02 13:30:00,865804.0
2025-01-02 14:00:00,865804.0
2025-01-02 14:30:00,865804.0
