사업장명,배출구,측정일시,"측정
항목",측정값
한국중부발전㈜보령발전본부,3,2022-05-01 00:00,TSP,3.65
한국중부발전㈜보령발전본부,3,2022-05-01 00:00,SOx,2.15
한국중부발전㈜보령발전본부,3,2022-05-01 00:00,NOx,5.26
한국중부발전㈜보령발전본부,3,2022-05-01 00:30,TSP,2.92
한국중부발전㈜보령발전본부,3,2022-05-01 00:30,SOx,2.31
한국중부발전㈜보령발전본부,3,2022-05-01 00:30,NOx,5.79
한국중부발전㈜보령발전본부,3,2022-05-01 01:00,TSP,2.72
한국중부발전㈜보령발전본부,3,2022-05-01 01:00,SOx,2.63
한국중부발전㈜보령발전본부,3,2022-05-01 01:00,NOx,6.78
한국중부발전㈜보령발전본부,3,2022-05-01 01:30,TSP,2.67
한국중부발전㈜보령발전본부,3,2022-05-01 01:30,SOx,2.87
한국중부발전㈜보령발전본부,3,2022-05-01 01:30,NOx,6.03
한국중부발전㈜보령발전본부,3,2022-05-01 02:00,TSP,2.58
한국중부발전㈜보령발전본부,3,2022-05-01 02:00,SOx,2.71
한국중부발전㈜보령발전본부,3,2022-05-01 02:00,NOx,2.15
한국중부발전㈜보령발전본부,3,2022-05-01 02:30,TSP,2.63
한국중부발전㈜보령발전본부,3,2022-05-01 02:30,SOx,2.73
한국중부발전㈜보령발전본부,3,2022-05-01 02:30,NOx,4.68
한국중부발전㈜보령발전본부,3,2022-05-01 03:00,TSP,2.65
한국중부발전㈜보령발전본부,3,2022-05-01 03:00,SOx,3.11
한국중부발전㈜보령발전본부,3,2022-05-01 03:00,NOx,5.68
한국중부발전㈜보령발전본부,3,2022-05-01 03:30,TSP,2.54
한국중부발전㈜보령발전본부,3,2022-05-01 03:30,SOx,3.38
한국중부발전㈜보령발전본부,3,2022-05-01 03:30,NOx,6.28
한국중부발전㈜보령발전본부,3,2022-05-01 04:00,TSP,2.66
한국중부발전㈜보령발전본부,3,2022-05-01 04:00,SOx,2.72
한국중부발전㈜보령발전본부,3,2022-05-01 04:00,NOx,6.53
한국중부발전㈜보령발전본부,3,2022-05-01 04:30,TSP,2.65
한국중부발전㈜보령발전본부,3,2022-05-01 04:30,SOx,2.91
한국중부발전㈜보령발전본부,3,2022-05-01 04:30,NOx,4.35
한국중부발전㈜보령발전본부,3,2022-05-01 05:00,TSP,2.62
한국중부발전㈜보령발전본부,3,2022-05-01 05:00,SOx,4.28
한국중부발전㈜보령발전본부,3,2022-05-01 05:00,NOx,2.47
한국중부발전㈜보령발전본부,3,2022-05-01 05:30,TSP,2.5
한국중부발전㈜보령발전본부,3,2022-05-01 05:30,SOx,4.25
한국중부발전㈜보령발전본부,3,2022-05-01 05:30,NOx,5.1
한국중부발전㈜보령발전본부,3,2022-05-01 06:00,TSP,2.68
한국중부발전㈜보령발전본부,3,2022-05-01 06:00,SOx,4.3
한국중부발전㈜보령발전본부,3,2022-05-01 06:00,NOx,5.88
한국중부발전㈜보령발전본부,3,2022-05-01 06:30,TSP,2.79
한국중부발전㈜보령발전본부,3,2022-05-01 06:30,SOx,4.27
한국중부발전㈜보령발전본부,3,2022-05-01 06:30,NOx,6.65
한국중부발전㈜보령발전본부,3,2022-05-01 07:00,TSP,3.5
한국중부발전㈜보령발전본부,3,2022-05-01 07:00,SOx,5.05
한국중부발전㈜보령발전본부,3,2022-05-01 07:00,NOx,5.8
한국중부발전㈜보령발전본부,3,2022-05-01 07:30,TSP,3.92
한국중부발전㈜보령발전본부,3,2022-05-01 07:30,SOx,4.86
한국중부발전㈜보령발전본부,3,2022-05-01 07:30,NOx,5.99
한국중부발전㈜보령발전본부,3,2022-05-01 08:00,TSP,3.55
한국중부발전㈜보령발전본부,3,2022-05-01 08:00,SOx,5.41
한국중부발전㈜보령발전본부,3,2022-05-01 08:00,NOx,2.15
한국중부발전㈜보령발전본부,3,2022-05-01 08:30,TSP,4.16
한국중부발전㈜보령발전본부,3,2022-05-01 08:30,SOx,6.22
한국중부발전㈜보령발전본부,3,2022-05-01 08:30,NOx,3.43
한국중부발전㈜보령발전본부,3,2022-05-01 09:00,TSP,3.97
한국중부발전㈜보령발전본부,3,2022-05-01 09:00,SOx,4.74
한국중부발전㈜보령발전본부,3,2022-05-01 09:00,NOx,0.77
한국중부발전㈜보령발전본부,3,2022-05-01 09:30,TSP,4.26
한국중부발전㈜보령발전본부,3,2022-05-01 09:30,SOx,4.02
한국중부발전㈜보령발전본부,3,2022-05-01 09:30,NOx,3.47
한국중부발전㈜보령발전본부,3,2022-05-01 10:00,TSP,4.37
한국중부발전㈜보령발전본부,3,2022-05-01 10:00,SOx,4.95
한국중부발전㈜보령발전본부,3,2022-05-01 10:00,NOx,1.68
한국중부발전㈜보령발전본부,3,2022-05-01 10:30,TSP,3.94
한국중부발전㈜보령발전본부,3,2022-05-01 10:30,SOx,4.68
한국중부발전㈜보령발전본부,3,2022-05-01 10:30,NOx,0.85
한국중부발전㈜보령발전본부,3,2022-05-01 11:00,TSP,4.75
한국중부발전㈜보령발전본부,3,2022-05-01 11:00,SOx,4.5
한국중부발전㈜보령발전본부,3,2022-05-01 11:00,NOx,2.29
한국중부발전㈜보령발전본부,3,2022-05-01 11:30,TSP,3.67
한국중부발전㈜보령발전본부,3,2022-05-01 11:30,SOx,4.41
한국중부발전㈜보령발전본부,3,2022-05-01 11:30,NOx,1.78
한국중부발전㈜보령발전본부,3,2022-05-01 12:00,TSP,3.68
한국중부발전㈜보령발전본부,3,2022-05-01 12:00,SOx,4.09
한국중부발전㈜보령발전본부,3,2022-05-01 12:00,NOx,1.96
한국중부발전㈜보령발전본부,3,2022-05-01 12:30,TSP,3.38
한국중부발전㈜보령발전본부,3,2022-05-01 12:30,SOx,4.09
한국중부발전㈜보령발전본부,3,2022-05-01 12:30,NOx,1.96
한국중부발전㈜보령발전본부,3,2022-05-01 13:00,TSP,3.94
한국중부발전㈜보령발전본부,3,2022-05-01 13:00,SOx,3.7
한국중부발전㈜보령발전본부,3,2022-05-01 13:00,NOx,1.81
한국중부발전㈜보령발전본부,3,2022-05-01 13:30,TSP,4.4
한국중부발전㈜보령발전본부,3,2022-05-01 13:30,SOx,3.5
한국중부발전㈜보령발전본부,3,2022-05-01 13:30,NOx,1.88
한국중부발전㈜보령발전본부,3,2022-05-01 14:00,TSP,3.57
한국중부발전㈜보령발전본부,3,2022-05-01 14:00,SOx,3.35
한국중부발전㈜보령발전본부,3,2022-05-01 14:00,NOx,1.84
한국중부발전㈜보령발전본부,3,2022-05-01 14:30,TSP,4.12
한국중부발전㈜보령발전본부,3,2022-05-01 14:30,SOx,3.69
한국중부발전㈜보령발전본부,3,2022-05-01 14:30,NOx,3.35
한국중부발전㈜보령발전본부,3,2022-05-01 15:00,TSP,3.67
한국중부발전㈜보령발전본부,3,2022-05-01 15:00,SOx,3.69
한국중부발전㈜보령발전본부,3,2022-05-01 15:00,NOx,3.35
한국중부발전㈜보령발전본부,3,2022-05-01 15:30,TSP,4.66
한국중부발전㈜보령발전본부,3,2022-05-01 15:30,SOx,5.2
한국중부발전㈜보령발전본부,3,2022-05-01 15:30,NOx,5.17
한국중부발전㈜보령발전본부,3,2022-05-01 16:00,TSP,3.95
한국중부발전㈜보령발전본부,3,2022-05-01 16:00,SOx,5.71
한국중부발전㈜보령발전본부,3,2022-05-01 16:00,NOx,3.39
한국중부발전㈜보령발전본부,3,2022-05-01 16:30,TSP,4.12
한국중부발전㈜보령발전본부,3,2022-05-01 16:30,SOx,6.54
한국중부발전㈜보령발전본부,3,2022-05-01 16:30,NOx,2.62
한국중부발전㈜보령발전본부,3,2022-05-01 17:00,TSP,3.53
한국중부발전㈜보령발전본부,3,2022-05-01 17:00,SOx,6.35
한국중부발전㈜보령발전본부,3,2022-05-01 17:00,NOx,1.82
한국중부발전㈜보령발전본부,3,2022-05-01 17:30,TSP,4.03
한국중부발전㈜보령발전본부,3,2022-05-01 17:30,SOx,2.77
한국중부발전㈜보령발전본부,3,2022-05-01 17:30,NOx,1.81
한국중부발전㈜보령발전본부,3,2022-05-01 18:00,TSP,3.66
한국중부발전㈜보령발전본부,3,2022-05-01 18:00,SOx,2.59
