사업장명,배출구,측정일시,"측정
항목",측정값
한국중부발전㈜신보령발전본부,1,2020-01-01 00:00,TSP,1.6
한국중부발전㈜신보령발전본부,1,2020-01-01 00:00,SOx,12.33
한국중부발전㈜신보령발전본부,1,2020-01-01 00:00,NOx,5.52
한국중부발전㈜신보령발전본부,1,2020-01-01 00:00,O₂,5.65
한국중부발전㈜신보령발전본부,1,2020-01-01 00:00,FL1,1100264.0
한국중부발전㈜신보령발전본부,1,2020-01-01 00:00,TMP,80.8
한국중부발전㈜신보령발전본부,1,2020-01-01 00:30,TSP,1.61
한국중부발전㈜신보령발전본부,1,2020-01-01 00:30,SOx,12.37
한국중부발전㈜신보령발전본부,1,2020-01-01 00:30,NOx,4.98
한국중부발전㈜신보령발전본부,1,2020-01-01 00:30,O₂,5.68
한국중부발전㈜신보령발전본부,1,2020-01-01 00:30,FL1,1093652.0
한국중부발전㈜신보령발전본부,1,2020-01-01 00:30,TMP,80.9
한국중부발전㈜신보령발전본부,1,2020-01-01 01:00,TSP,1.61
한국중부발전㈜신보령발전본부,1,2020-01-01 01:00,SOx,12.22
한국중부발전㈜신보령발전본부,1,2020-01-01 01:00,NOx,4.6
한국중부발전㈜신보령발전본부,1,2020-01-01 01:00,O₂,5.68
한국중부발전㈜신보령발전본부,1,2020-01-01 01:00,FL1,1098410.0
한국중부발전㈜신보령발전본부,1,2020-01-01 01:00,TMP,80.94
한국중부발전㈜신보령발전본부,1,2020-01-01 01:30,TSP,1.61
한국중부발전㈜신보령발전본부,1,2020-01-01 01:30,SOx,12.18
한국중부발전㈜신보령발전본부,1,2020-01-01 01:30,NOx,4.8
한국중부발전㈜신보령발전본부,1,2020-01-01 01:30,O₂,5.69
한국중부발전㈜신보령발전본부,1,2020-01-01 01:30,FL1,1098299.0
한국중부발전㈜신보령발전본부,1,2020-01-01 01:30,TMP,81.02
한국중부발전㈜신보령발전본부,1,2020-01-01 02:00,TSP,1.61
한국중부발전㈜신보령발전본부,1,2020-01-01 02:00,SOx,11.97
한국중부발전㈜신보령발전본부,1,2020-01-01 02:00,NOx,4.43
한국중부발전㈜신보령발전본부,1,2020-01-01 02:00,O₂,5.66
한국중부발전㈜신보령발전본부,1,2020-01-01 02:00,FL1,1095728.0
한국중부발전㈜신보령발전본부,1,2020-01-01 02:00,TMP,81.1
한국중부발전㈜신보령발전본부,1,2020-01-01 02:30,TSP,1.62
한국중부발전㈜신보령발전본부,1,2020-01-01 02:30,SOx,11.84
한국중부발전㈜신보령발전본부,1,2020-01-01 02:30,NOx,4.47
한국중부발전㈜신보령발전본부,1,2020-01-01 02:30,O₂,5.66
한국중부발전㈜신보령발전본부,1,2020-01-01 02:30,FL1,1084453.0
한국중부발전㈜신보령발전본부,1,2020-01-01 02:30,TMP,81.14
한국중부발전㈜신보령발전본부,1,2020-01-01 03:00,TSP,1.62
한국중부발전㈜신보령발전본부,1,2020-01-01 03:00,SOx,11.17
한국중부발전㈜신보령발전본부,1,2020-01-01 03:00,NOx,3.5
한국중부발전㈜신보령발전본부,1,2020-01-01 03:00,O₂,5.76
한국중부발전㈜신보령발전본부,1,2020-01-01 03:00,FL1,1041475.0
한국중부발전㈜신보령발전본부,1,2020-01-01 03:00,TMP,81.1
한국중부발전㈜신보령발전본부,1,2020-01-01 03:30,TSP,1.64
한국중부발전㈜신보령발전본부,1,2020-01-01 03:30,SOx,10.58
한국중부발전㈜신보령발전본부,1,2020-01-01 03:30,NOx,3.43
한국중부발전㈜신보령발전본부,1,2020-01-01 03:30,O₂,6.01
한국중부발전㈜신보령발전본부,1,2020-01-01 03:30,FL1,976649.0
한국중부발전㈜신보령발전본부,1,2020-01-01 03:30,TMP,81.05
한국중부발전㈜신보령발전본부,1,2020-01-01 04:00,TSP,1.58
한국중부발전㈜신보령발전본부,1,2020-01-01 04:00,SOx,11.62
한국중부발전㈜신보령발전본부,1,2020-01-01 04:00,NOx,4.01
한국중부발전㈜신보령발전본부,1,2020-01-01 04:00,O₂,5.71
한국중부발전㈜신보령발전본부,1,2020-01-01 04:00,FL1,1082350.0
한국중부발전㈜신보령발전본부,1,2020-01-01 04:00,TMP,80.83
한국중부발전㈜신보령발전본부,1,2020-01-01 04:30,TSP,1.59
한국중부발전㈜신보령발전본부,1,2020-01-01 04:30,SOx,11.72
한국중부발전㈜신보령발전본부,1,2020-01-01 04:30,NOx,3.89
한국중부발전㈜신보령발전본부,1,2020-01-01 04:30,O₂,5.74
한국중부발전㈜신보령발전본부,1,2020-01-01 04:30,FL1,1080133.0
한국중부발전㈜신보령발전본부,1,2020-01-01 04:30,TMP,80.9
한국중부발전㈜신보령발전본부,1,2020-01-01 05:00,TSP,1.61
한국중부발전㈜신보령발전본부,1,2020-01-01 05:00,SOx,11.93
한국중부발전㈜신보령발전본부,1,2020-01-01 05:00,NOx,4.63
한국중부발전㈜신보령발전본부,1,2020-01-01 05:00,O₂,5.74
한국중부발전㈜신보령발전본부,1,2020-01-01 05:00,FL1,1099905.0
한국중부발전㈜신보령발전본부,1,2020-01-01 05:00,TMP,81.08
한국중부발전㈜신보령발전본부,1,2020-01-01 05:30,TSP,1.61
한국중부발전㈜신보령발전본부,1,2020-01-01 05:30,SOx,11.68
한국중부발전㈜신보령발전본부,1,2020-01-01 05:30,NOx,4.63
한국중부발전㈜신보령발전본부,1,2020-01-01 05:30,O₂,5.75
한국중부발전㈜신보령발전본부,1,2020-01-01 05:30,FL1,1094646.0
한국중부발전㈜신보령발전본부,1,2020-01-01 05:30,TMP,81.07
한국중부발전㈜신보령발전본부,1,2020-01-01 06:00,TSP,1.6
한국중부발전㈜신보령발전본부,1,2020-01-01 06:00,SOx,11.56
한국중부발전㈜신보령발전본부,1,2020-01-01 06:00,NOx,4.74
한국중부발전㈜신보령발전본부,1,2020-01-01 06:00,O₂,5.65
한국중부발전㈜신보령발전본부,1,2020-01-01 06:00,FL1,1099562.0
한국중부발전㈜신보령발전본부,1,2020-01-01 06:00,TMP,81.33
한국중부발전㈜신보령발전본부,1,2020-01-01 06:30,TSP,1.6
한국중부발전㈜신보령발전본부,1,2020-01-01 06:30,SOx,11.47
한국중부발전㈜신보령발전본부,1,2020-01-01 06:30,NOx,4.88
한국중부발전㈜신보령발전본부,1,2020-01-01 06:30,O₂,5.66
한국중부발전㈜신보령발전본부,1,2020-01-01 06:30,FL1,1097229.0
한국중부발전㈜신보령발전본부,1,2020-01-01 06:30,TMP,81.28
한국중부발전㈜신보령발전본부,1,2020-01-01 07:00,TSP,1.61
한국중부발전㈜신보령발전본부,1,2020-01-01 07:00,SOx,11.54
한국중부발전㈜신보령발전본부,1,2020-01-01 07:00,NOx,4.57
한국중부발전㈜신보령발전본부,1,2020-01-01 07:00,O₂,5.61
한국중부발전㈜신보령발전본부,1,2020-01-01 07:00,FL1,1093858.0
한국중부발전㈜신보령발전본부,1,2020-01-01 07:00,TMP,81.37
한국중부발전㈜신보령발전본부,1,2020-01-01 07:30,TSP,1.61
한국중부발전㈜신보령발전본부,1,2020-01-01 07:30,SOx,11.56
한국중부발전㈜신보령발전본부,1,2020-01-01 07:30,NOx,4.41
한국중부발전㈜신보령발전본부,1,2020-01-01 07:30,O₂,5.57
한국중부발전㈜신보령발전본부,1,2020-01-01 07:30,FL1,1095342.0
한국중부발전㈜신보령발전본부,1,2020-01-01 07:30,TMP,81.37
한국중부발전㈜신보령발전본부,1,2020-01-01 08:00,TSP,1.6
한국중부발전㈜신보령발전본부,1,2020-01-01 08:00,SOx,11.6
한국중부발전㈜신보령발전본부,1,2020-01-01 08:00,NOx,4.43
한국중부발전㈜신보령발전본부,1,2020-01-01 08:00,O₂,5.65
한국중부발전㈜신보령발전본부,1,2020-01-01 08:00,FL1,1096225.0
한국중부발전㈜신보령발전본부,1,2020-01-01 08:00,TMP,81.56
한국중부발전㈜신보령발전본부,1,2020-01-01 08:30,TSP,1.6
한국중부발전㈜신보령발전본부,1,2020-01-01 08:30,SOx,11.1
한국중부발전㈜신보령발전본부,1,2020-01-01 08:30,NOx,2.46
한국중부발전㈜신보령발전본부,1,2020-01-01 08:30,O₂,5.7
한국중부발전㈜신보령발전본부,1,2020-01-01 08:30,FL1,1037485.0
한국중부발전㈜신보령발전본부,1,2020-01-01 08:30,TMP,82.03
한국중부발전㈜신보령발전본부,1,2020-01-01 09:00,TSP,1.64
한국중부발전㈜신보령발전본부,1,2020-01-01 09:00,SOx,11.37
한국중부발전㈜신보령발전본부,1,2020-01-01 09:00,NOx,3.98
한국중부발전㈜신보령발전본부,1,2020-01-01 09:00,O₂,5.93
한국중부발전㈜신보령발전본부,1,2020-01-01 09:00,FL1,1047386.0
